url	primary language	files	sloc
https://github.com/googlevr/vrview	JavaScript	46	23454
https://github.com/oreillymedia/open_government		5	75
https://github.com/sindresorhus/refined-github	JavaScript	23	1709
https://github.com/flexiblegs/flexiblegs-scss-plus	CSS	11	5286
https://github.com/mentum/lambdaws	JavaScript	21	1098
https://github.com/octokit/octokit.net	C#	1105	361794
https://github.com/Hextris/hextris	JavaScript	28	4616
https://github.com/astropy/astropy	Python	1398	452428
https://github.com/Yelp/osxcollector	Python	16	2312
https://github.com/GarageGames/Torque2D	C++	2797	634480
https://github.com/ocaml/ocaml	OCaml	2260	260018
https://github.com/mikeizbicki/HLearn	Haskell	64	6819
https://github.com/pre-commit/pre-commit	Python	142	7285
https://github.com/GoogleChrome/accessibility-developer-tools	JavaScript	97	14114
https://github.com/coala/coala	Python	307	26721
https://github.com/petdance/ack2	Perl	48	2321
https://github.com/Caliburn-Micro/Caliburn.Micro	C#	557	26809
https://github.com/PocketMine/PocketMine-MP	PHP	874	43420
https://github.com/github/Rebel	Objective-C	73	2122
https://github.com/libgit2/libgit2sharp	C#	416	41270
https://github.com/superpowers/superpowers-core	TypeScript	159	8781
https://github.com/streamio/streamio-ffmpeg	Ruby	16	1935
https://github.com/Netflix/vizceral	JavaScript	53	5218
https://github.com/goadapp/goad	Go	179	32471
https://github.com/reactjs/react-a11y	JavaScript	14	1327
https://github.com/HoTT/book	TeX	69	45707
https://github.com/nprapps/app-template	JavaScript	125	25839
https://github.com/codahale/bcrypt-ruby	C	22	2222
https://github.com/spring/spring	C++	2630	435107
https://github.com/WhiteHouse/petitions	JavaScript	469	146086
https://github.com/adobe-fonts/source-serif-pro	Shell	4	50
https://github.com/walterhiggins/ScriptCraft	JavaScript	134	16304
https://github.com/ellisonleao/clumsy-bird	JavaScript	17	739
https://github.com/apache/mahout	Java	1543	132367
https://github.com/shakiba/stage.js	JavaScript	164	34490
https://github.com/GooTechnologies/goojs	JavaScript	1236	112759
https://github.com/icsharpcode/SharpDevelop	C#	5529	641343
https://github.com/threatstream/mhn	Shell	103	8303
https://github.com/eholk/harlan	Scheme	41	1790
https://github.com/dart-lang/sdk	Dart	11730	2361550
https://github.com/stephenhutchings/typicons.font	HTML	145	32113
https://github.com/SeldonIO/seldon-server	Java	869	66397
https://github.com/dojo/dojo	JavaScript	1240	128420
https://github.com/openaddresses/openaddresses	JavaScript	2045	61311
https://github.com/addyosmani/a11y	JavaScript	11	630
